#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"EsxName","PnicName","PnicMacAddress","Link","SpeedMb","vSwitch","DProtocol","SwitchName","SwitchPort","SwitchAddress","SwitchId","PnicModel","PnicDriver","PciSlot"
"hbmupcoreesx001m.dcsutil.dcsroot.local","vmnic0","d0:43:1e:9e:8e:41","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.0"
"hbmupcoreesx001m.dcsutil.dcsroot.local","vmnic1","d0:43:1e:9e:8e:44","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.1"
"hbmupcoreesx003m.dcsutil.dcsroot.local","vmnic0","d0:43:1e:9e:8e:68","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.0"
"hbmupcoreesx003m.dcsutil.dcsroot.local","vmnic1","d0:43:1e:9e:8e:6b","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.1"
"hbmupcoreesx002m.dcsutil.dcsroot.local","vmnic0","d0:43:1e:9e:8e:4e","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.0"
"hbmupcoreesx002m.dcsutil.dcsroot.local","vmnic1","d0:43:1e:9e:8e:51","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.1"
"hbmupcoreesx004m.dcsutil.dcsroot.local","vmnic0","1c:40:24:81:9a:a1","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.0"
"hbmupcoreesx004m.dcsutil.dcsroot.local","vmnic1","1c:40:24:81:9a:a4","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.1"
"hbmupcoreesx005m.dcsutil.dcsroot.local","vmnic0","1c:40:24:81:9a:ae","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.0"
"hbmupcoreesx005m.dcsutil.dcsroot.local","vmnic1","1c:40:24:81:9a:b1","Up","10000",,"NA","","","","","Broadcom Corporation QLogic 57810 10 Gigabit Ethernet Adapter","bnx2x","0000:01:00.1"
"uk1upnetwesx01.pearsontc.com","vmnic0","10:70:fd:42:34:22","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/0:0","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.0"
"uk1upnetwesx01.pearsontc.com","vmnic1","10:70:fd:42:34:23","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/0:0","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.1"
"uk1upnetwesx01.pearsontc.com","vmnic2","10:70:fd:42:34:1a","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/0:1","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.0"
"uk1upnetwesx01.pearsontc.com","vmnic3","10:70:fd:42:34:1b","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/0:1","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.1"
"uk1upnetwesx03.pearsontc.com","vmnic0","10:70:fd:42:4b:be","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/1:0","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.0"
"uk1upnetwesx03.pearsontc.com","vmnic1","10:70:fd:42:4b:bf","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/1:0","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.1"
"uk1upnetwesx03.pearsontc.com","vmnic2","10:70:fd:42:3f:3a","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/1:1","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.0"
"uk1upnetwesx03.pearsontc.com","vmnic3","10:70:fd:42:3f:3b","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/1:1","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.1"
"uk1upnetwesx02.pearsontc.com","vmnic0","10:70:fd:42:34:12","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/0:2","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.0"
"uk1upnetwesx02.pearsontc.com","vmnic1","10:70:fd:42:34:13","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/0:2","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.1"
"uk1upnetwesx02.pearsontc.com","vmnic2","10:70:fd:42:32:62","Up","25000","UK1-NUTX-ESX-Network-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/0:3","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.0"
"uk1upnetwesx02.pearsontc.com","vmnic3","10:70:fd:42:32:63","Up","25000","UK1-NUTX-ESX-Network-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/0:3","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.1"
"uk1upukqdbesx04.pearsontc.com","vmnic0","b8:3f:d2:18:a9:6e","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/16:0","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.0"
"uk1upukqdbesx04.pearsontc.com","vmnic1","b8:3f:d2:18:a9:6f","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/16:0","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.1"
"uk1upukqdbesx04.pearsontc.com","vmnic2","b8:3f:d2:2e:25:3a","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/16:1","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.0"
"uk1upukqdbesx04.pearsontc.com","vmnic3","b8:3f:d2:2e:25:3b","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/16:1","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.1"
"uk1upukqdbesx03.pearsontc.com","vmnic0","b8:3f:d2:2e:25:ca","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/15:2","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.0"
"uk1upukqdbesx03.pearsontc.com","vmnic1","b8:3f:d2:2e:25:cb","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/15:2","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.1"
"uk1upukqdbesx03.pearsontc.com","vmnic2","b8:3f:d2:2e:25:de","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/15:3","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.0"
"uk1upukqdbesx03.pearsontc.com","vmnic3","b8:3f:d2:2e:25:df","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/15:3","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.1"
"uk1upukqdbesx01.pearsontc.com","vmnic0","b8:3f:d2:2e:25:1a","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/14:2","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.0"
"uk1upukqdbesx01.pearsontc.com","vmnic1","b8:3f:d2:2e:25:1b","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/14:2","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.1"
"uk1upukqdbesx01.pearsontc.com","vmnic2","b8:3f:d2:18:a9:4a","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/14:3","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.0"
"uk1upukqdbesx01.pearsontc.com","vmnic3","b8:3f:d2:18:a9:4b","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/14:3","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.1"
"uk1upukqdbesx02.pearsontc.com","vmnic0","b8:3f:d2:2e:25:02","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/15:0","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.0"
"uk1upukqdbesx02.pearsontc.com","vmnic1","b8:3f:d2:2e:25:03","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/15:0","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:42:00.1"
"uk1upukqdbesx02.pearsontc.com","vmnic2","b8:3f:d2:2e:25:06","Up","25000","UK1-NUTX-ESX-PQS-SQL01-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/15:1","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.0"
"uk1upukqdbesx02.pearsontc.com","vmnic3","b8:3f:d2:2e:25:07","Up","25000","UK1-NUTX-ESX-PQS-SQL01-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/15:1","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies MT27710 Family [ConnectX-4 Lx]","nmlx5_core","0000:1f:00.1"
"uk1upnutxesx01.pearsontc.com","vmnic0","10:70:fd:42:3d:72","Up","25000","UK1-NUTX-ESX-PROD01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/3:2","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.0"
"uk1upnutxesx01.pearsontc.com","vmnic1","10:70:fd:42:3d:73","Up","25000","UK1-NUTX-ESX-PROD01-VM-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/3:2","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.1"
"uk1upnutxesx01.pearsontc.com","vmnic2","10:70:fd:42:3d:82","Up","25000","UK1-NUTX-ESX-PROD01-VM-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/3:3","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.0"
"uk1upnutxesx01.pearsontc.com","vmnic3","10:70:fd:42:3d:83","Up","25000","UK1-NUTX-ESX-PROD01-MGT-VDS","LLDP","LHR1-B700228TOR005B","et-0/0/3:3","10.38.4.95","58:e4:34:76:67:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:c4:00.1"
"uk1upnutxesx08.pearsontc.com","vmnic0","10:70:fd:42:33:22","Up","25000","UK1-NUTX-ESX-PROD01-MGT-VDS","LLDP","LHR1-B700228TOR005A","et-0/0/5:2","10.38.4.94","58:e4:34:76:53:0b","Mellanox Technologies ConnectX-4 Lx EN NIC; OCP3.0; 25GbE; dual-port SFP28; PCIe3.0 x8; (MCX4621A-ACA)","nmlx5_core","0000:3f:00.0"
