#TYPE System.Management.Automation.PSCustomObject
"Name","Type","BluePath","GuestOS","IP","Path"
"Germany (HBM)","Datacenter","","","","/Germany (HBM)"
"UK1 DC","Datacenter","","","","/UK1 DC"
"ssPortGroup-10-162-69-0/24-Core_Servers","Network","","","","/UK1 DC/ssPortGroup-10-162-69-0/24-Core_Servers"
"ISCSI","Network","","","","/UK1 DC/ISCSI"
"VM Network","Network","","","","/UK1 DC/VM Network"
"ssPortGroup-10-162-37-0/24-Core_Servers","Network","","","","/UK1 DC/ssPortGroup-10-162-37-0/24-Core_Servers"
"Not connected","Network","","","","/UK1 DC/Not connected"
"Backplane Network","Network","","","","/UK1 DC/Backplane Network"
"vCenter","Network","","","","/UK1 DC/vCenter"
"ntnx-internal-pg","Network","","","","/UK1 DC/ntnx-internal-pg"
"Staging","Network","","","","/UK1 DC/Staging"
"Management Network","Network","","","","/UK1 DC/Management Network"
"VM VDS","Folder","","","","/UK1 DC/VM VDS"
"Management VDS","Folder","","","","/UK1 DC/Management VDS"
"UK1-PROD01-VLAN456-ISCSI_Backup-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-PROD01-VLAN456-ISCSI_Backup-dPG"
"UK1_AHV_VLAN456_ISCSI_STORAGE","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1_AHV_VLAN456_ISCSI_STORAGE"
"UK1-NUTX-ESX-PQS-NONPROD01-MGT-Provisioning-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-NONPROD01-MGT-Provisioning-dpg"
"UK1-NUTX-ESX-PQS-SQL01-MGT-Provisioning-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-SQL01-MGT-Provisioning-dpg"
"UK1-NUTX-ESX-PQS-PROD01-MGT-Provisioning-dpg","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-NUTX-ESX-PQS-PROD01-MGT-Provisioning-dpg"
"UK1-PQS-NONPROD01-VLAN453-ISCSI_Storage-dPG","DistributedVirtualPortgroup","","","","/UK1 DC/Management VDS/UK1-PQS-NONPROD01-VLAN453-ISCSI_Storage-dPG"
